policy,seed,episode_return,success,steps,action_energy,max_position,final_position
zero,2110,0.0,False,999,0.0,-0.5085752010345459,-0.5208864212036133
zero,2111,0.0,False,999,0.0,-0.46579936146736145,-0.5218814611434937
zero,2112,0.0,False,999,0.0,-0.4640112817287445,-0.5247616767883301
zero,2113,0.0,False,999,0.0,-0.5182293653488159,-0.5225787162780762
zero,2114,0.0,False,999,0.0,-0.4411372244358063,-0.5350204706192017
zero,2115,0.0,False,999,0.0,-0.5087381601333618,-0.520912230014801
zero,2116,0.0,False,999,0.0,-0.437397837638855,-0.5381588935852051
zero,2117,0.0,False,999,0.0,-0.5149714946746826,-0.5252186059951782
zero,2118,0.0,False,999,0.0,-0.5108954310417175,-0.5259307026863098
zero,2119,0.0,False,999,0.0,-0.4699098765850067,-0.5263937711715698
zero,2120,0.0,False,999,0.0,-0.4577657878398895,-0.5223690867424011
zero,2121,0.0,False,999,0.0,-0.5043522119522095,-0.5202578902244568
zero,2122,0.0,False,999,0.0,-0.46848565340042114,-0.5211451053619385
zero,2123,0.0,False,999,0.0,-0.4935341477394104,-0.5280468463897705
zero,2124,0.0,False,999,0.0,-0.5189205408096313,-0.5227087140083313
zero,2125,0.0,False,999,0.0,-0.5211229920387268,-0.523126482963562
random,2026,-32.71472508030996,False,999,327.1472508030991,-0.25042450428009033,-0.363691121339798
random,2027,-33.17499787569811,False,999,331.7499787569801,-0.19737140834331512,-0.30745357275009155
random,2028,-32.86795642519604,False,999,328.6795642519601,-0.1713019162416458,-0.6494353413581848
random,2029,-33.11369323859815,False,999,331.13693238598154,-0.36617887020111084,-0.6862989068031311
random,2030,-32.20864221072827,False,999,322.0864221072829,-0.2242862582206726,-0.3602351248264313
random,2031,-33.302994905845665,False,999,333.0299490584567,-0.06565629690885544,-0.8986421823501587
random,2032,-32.87586749012711,False,999,328.7586749012711,-0.26874828338623047,-0.339175820350647
random,2033,-32.91320677233293,False,999,329.13206772332967,0.09606524556875229,0.06047877296805382
random,2034,67.97996415806719,True,971,320.2003584193277,0.4508898854255676,0.4508898854255676
random,2035,-33.72307780348798,False,999,337.23077803487985,-0.0014144349843263626,-0.8885099291801453
random,2036,-33.13135107266201,False,999,331.31351072661977,-0.33949506282806396,-0.4424573481082916
random,2037,-33.058513804125,False,999,330.5851380412503,0.005078878719359636,-0.2720249891281128
